Date,Sample ID,Plot,Treatment,Type,dD,d18O
3/28/17,1,1,cut,10_cm,-18,4
3/28/17,2,1,cut,10_cm,-12,2.8
3/28/17,3,1,cut,30_cm,-29,-1.2
3/28/17,4,1,cut,30_cm,-21,-0.2
3/28/17,5,1,cut,50_cm,-29,-1.3
3/28/17,6,1,cut,50_cm,-22,-0.9
3/28/17,7,1,cut,grass,-32,-2.8
3/28/17,8,1,cut,grass,-22,-2.2
3/28/17,9,1,cut,grass,-31,-3.3
3/28/17,10,1,cut,tree,-27,-3.7
3/28/17,11,1,cut,tree,-28,-3.4
3/28/17,12,1,cut,tree,-26,-3.1
3/28/17,13,1,uncut,10_cm,-15,3
3/28/17,14,1,uncut,10_cm,-21,3.6
3/28/17,15,1,uncut,30_cm,-24,-1.2
3/28/17,16,1,uncut,30_cm,-21,-0.4
3/28/17,17,1,uncut,50_cm,-27,-1.5
3/28/17,18,1,uncut,50_cm,-31,-2
3/28/17,19,1,uncut,grass,-19,-0.8
3/28/17,20,1,uncut,tree,-35,-4.6
3/28/17,21,1,uncut,tree,-32,-3.2
3/28/17,22,1,uncut,tree,-28,-3
3/28/17,23,1,uncut,tree,-26,-2.6
3/28/17,24,2,cut,10_cm,-15,4.1
3/28/17,25,2,cut,30_cm,-12,1.3
3/28/17,26,2,cut,50_cm,-16,0.9
3/28/17,27,2,cut,grass,-17,2.1
3/28/17,28,2,cut,grass,-11,1.1
3/28/17,29,2,cut,grass,-14,0.3
3/28/17,30,2,cut,tree,-16,-0.2
3/28/17,31,2,cut,tree,-18,-1.3
3/28/17,32,2,cut,tree,-20,-1.9
3/28/17,33,2,cut,tree,-35,-2.6
3/28/17,34,2,uncut,10_cm,-12,4.4
3/28/17,35,2,uncut,30_cm,-22,-0.5
3/28/17,36,2,uncut,50_cm,-20,-1.4
3/28/17,37,2,uncut,grass,-15,0.7
3/28/17,38,2,uncut,grass,-31,-2.6
3/28/17,39,2,uncut,grass,-32,-2.4
3/28/17,40,2,uncut,tree,-26,-2.8
3/28/17,41,2,uncut,tree,-27,-2.6
3/28/17,42,2,uncut,tree,-34,-4.4
3/28/17,43,2,uncut,tree,-47,-5.7
3/28/17,44,3,cut,grass,-14,1.1
3/28/17,45,3,cut,grass,-23,-1.1
3/28/17,46,3,cut,grass,-14,0.7
3/28/17,47,3,cut,tree,-17,-1.4
3/28/17,48,3,cut,tree,-31,-3.1
3/28/17,49,3,cut,tree,-37,-4.9
3/28/17,50,3,cut,tree,-22,-2.3
3/28/17,51,3,uncut,10_cm,-10,4.4
3/28/17,52,3,uncut,30_cm,-13,2.3
3/28/17,53,3,uncut,50_cm,-23,-1.6
3/28/17,54,3,uncut,50_cm,-13,1
3/28/17,55,3,uncut,Borehole,-17,-3.4
3/28/17,56,3,uncut,grass,-17,0.7
3/28/17,57,3,uncut,grass,-21,0.3
3/28/17,58,3,uncut,grass,-9,2.7
3/28/17,59,3,uncut,tree,-28,-3.2
3/28/17,60,3,uncut,tree,-34,-3.4
3/28/17,61,3,uncut,tree,-27,-2.8
3/28/17,62,3,uncut,tree,-29,-2.7
3/20/18,63,1,cut,10_cm,-17,3.4
3/20/18,64,1,cut,30_cm,-10,1
3/20/18,65,1,cut,50_cm,-20,0.3
3/20/18,66,1,cut,grass,-13,-1.5
3/20/18,67,1,cut,grass,-14,-1.4
3/20/18,68,1,cut,grass,-20,-1.4
3/20/18,69,1,cut,tree,-39,-5
3/20/18,70,1,cut,tree,-31,-3.9
3/20/18,71,1,cut,tree,-25,-0.8
3/20/18,72,1,cut,tree,-41,-5
3/20/18,73,1,uncut,10_cm,-11,2.2
3/20/18,74,1,uncut,30_cm,-39,-2.3
3/20/18,75,1,uncut,50_cm,-29,-4.3
3/20/18,76,1,uncut,grass,-30,-1.1
3/20/18,77,1,uncut,grass,-24,-3
3/20/18,78,1,uncut,grass,-24,-0.7
3/20/18,79,1,uncut,tree,-43,-2.8
3/20/18,80,1,uncut,tree,-34,-1.8
3/20/18,81,1,uncut,tree,-37,-2.6
3/20/18,82,1,uncut,tree,-30,-1.6
3/20/18,83,2,cut,10_cm,-10,2
3/20/18,84,2,cut,30_cm,-14,1.8
3/20/18,85,2,cut,50_cm,-16,1
3/20/18,86,2,cut,pan_max,0,3.8
3/20/18,87,2,cut,pan_max,-7,1.5
3/20/18,88,2,cut,pan_max,-36,-2.8
3/20/18,89,2,cut,tree,-26,-1.2
3/20/18,90,2,cut,tree,-16,1.7
3/20/18,91,2,cut,tree,-24,-0.5
3/20/18,92,2,cut,tree,-20,0.2
3/20/18,93,2,uncut,10_cm,-21,3.3
3/20/18,94,2,uncut,30_cm,-3,6
3/20/18,95,2,uncut,50_cm,-8,3.3
3/20/18,96,2,uncut,grass,-6,0.8
3/20/18,97,2,uncut,grass,-18,-0.8
3/20/18,98,2,uncut,grass,5,4.1
3/20/18,99,2,uncut,tree,-34,-0.1
3/20/18,100,2,uncut,tree,-43,-2.2
3/20/18,101,2,uncut,tree,-40,-2.9
3/20/18,102,2,uncut,tree,-39,-3.7
3/20/18,103,3,cut,10_cm,-4,4.3
3/20/18,104,3,cut,30_cm,-11,4.3
3/20/18,105,3,cut,50_cm,-7,3.2
3/20/18,106,3,cut,grass,-25,-0.6
3/20/18,107,3,cut,grass,-26,0.9
3/20/18,108,3,cut,grass,-8,2.6
3/20/18,109,3,cut,tree,-21,0.2
3/20/18,110,3,cut,tree,-30,-2.3
3/20/18,111,3,cut,tree,-25,-0.8
3/20/18,112,3,cut,tree,-32,-3.1
3/20/18,113,3,uncut,10_cm,-3,2.7
3/20/18,114,3,uncut,30_cm,-16,1.9
3/20/18,115,3,uncut,50_cm,-21,0.9
3/20/18,116,3,uncut,grass,-25,-0.3
3/20/18,117,3,uncut,grass,1,2.8
3/20/18,118,3,uncut,grass,0,3.2
3/20/18,119,3,uncut,tree,-38,-1.8
3/20/18,120,3,uncut,tree,-40,-3.9
3/20/18,121,3,uncut,tree,-25,1.5
3/20/18,122,3,uncut,tree,-26,0.9